img_file,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Complexity,Edge density,Color entropy,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Mirror symmetry,DCM distance,DCM x position,DCM y position,Balance,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Slope Redies,Slope Spehar,Slope Mather,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Anisotropy,Homogeneity,1st-order EOE,2nd-order EOE,Sparseness,Variability,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_1\0006ea18_c260_43a4_9d38_e9ca110c555a.png,1024,1.0,15.279,7.106,3.334,37.823,5.633,86.806,47.758,59.865,25.356,20.203,1.171,0.9156,0.6014,0.3622,38.635,36.417,50.867,15.279,8.766,16.54,0.1265,0.2736,0.1588,31.381,17.617,-0.005859,0.08789,11.973,0.2628,0.4079,0.2134,-3.082,-1.502,-1.423,0.01067,1.211,2.342,0.4591,0.6591,0.000993,93.463,4.21,4.253,0.0004304,1.855e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_1\00070346_4a95_4172_9bf9_f19d93e941c4.png,1408,0.5714,41.081,6.113,35.345,363.852,5.747,159.239,159.983,160.587,63.344,-0.1237,-0.4383,0.01992,0.1206,0.6364,104.444,104.565,103.734,41.081,2.479,2.637,0.3556,0.2475,0.4074,15.752,5.644,0.01172,0.02567,14.318,0.6626,0.6612,0.6529,-2.162,-1.223,-0.9935,0.003367,1.774,2.901,0.8413,0.8923,0.0004664,99.504,4.409,4.488,0.0001355,5.329e-06,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_1\00073e57_f185_4621_8425_31a0eaec0161.jpg,1536,1.0,21.489,7.617,9.526,79.546,6.507,104.724,74.489,52.421,34.214,11.437,17.374,0.06732,0.5833,0.4348,63.929,50.4,59.301,21.489,14.493,22.892,0.1786,0.2839,0.2593,50.045,5.273,-0.009115,0.02474,10.497,0.5562,0.4747,0.4544,-2.526,-1.058,-1.23,0.01916,1.519,2.553,0.7294,0.8135,0.0002875,93.271,4.247,4.427,0.0001681,1.381e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_1\00094984_3f24_4114_9812_0c554ac770ee.png,1216,0.7273,15.416,7.222,4.548,45.591,6.548,124.909,100.632,114.344,45.07,12.528,-4.161,0.8523,0.2309,0.505,45.995,38.357,31.143,15.416,7.18,9.944,0.1027,0.09891,0.172,52.48,11.093,0.02148,0.05114,9.324,0.4094,0.2757,0.2738,-2.477,-1.247,-1.2,0.002185,1.413,2.447,0.6304,0.7782,0.0005457,85.225,4.509,4.506,0.0003006,2.752e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_1\000c2123_844b_4dd7_bf99_56e9f999b767.jpg,1024,1.0,26.977,7.566,6.38,64.525,6.875,88.562,92.9,84.92,37.461,-2.281,3.791,0.3895,0.2038,0.3911,57.546,71.48,57.549,26.977,9.915,6.761,0.3758,0.1179,0.2661,56.585,21.763,0.03906,0.1016,20.448,0.3627,0.3806,0.3285,-2.724,-1.341,-1.227,0.02528,1.267,2.46,0.6011,0.7539,0.0007751,84.263,4.292,4.388,0.0001995,2.185e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_1\001084a3_1977_4fcf_a911_6ea406d69b79.png,1216,0.7273,27.59,7.685,13.896,190.31,7.121,76.253,79.334,85.991,32.538,0.7491,-3.648,0.5941,0.3607,0.3671,70.426,67.884,73.378,27.59,11.108,9.768,0.1978,0.2383,0.2878,58.012,8.989,-0.04492,0.00142,10.226,0.4749,0.4497,0.4443,-2.833,-1.671,-1.386,0.04433,1.54,2.597,0.7151,0.8057,0.0004327,97.633,4.47,4.479,0.0001658,1.316e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_1\0033f00a_8ee8_45de_814f_ad3e994f3d4e.png,1024,1.0,27.067,6.265,9.881,152.237,4.86,126.855,137.56,117.731,57.386,4.885,5.064,0.4884,0.6849,0.7354,98.269,71.455,93.399,27.067,13.827,50.054,0.2997,0.3374,0.2686,12.07,8.984,-0.04492,0.0,5.143,0.3358,0.3723,0.3144,-3.368,-2.007,-1.549,0.2564,1.397,2.429,0.6036,0.8282,0.0008572,93.096,4.558,4.514,0.0006629,4.405e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_1\0036473b_be7c_4b8e_b27d_0d83f01c1af1.jpg,1536,2.0,22.344,7.329,9.707,82.002,5.219,90.386,110.713,125.321,44.733,-3.203,-10.1003,0.5713,0.3632,0.4962,58.347,52.471,58.346,22.344,4.117,7.219,0.09851,0.2233,0.2312,21.674,8.053,0.01562,-0.03711,19.75,0.5655,0.4061,0.3798,-2.395,-1.09,-1.09,0.006585,1.528,2.671,0.5448,0.7904,0.0004295,89.773,4.064,4.257,0.000219,2.429e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_1\0056ac4d_475b_4c44_af2f_94101ac12434.jpg,1280,0.6667,7.998,6.077,0.8389,10.706,4.972,148.234,92.224,55.933,45.365,19.882,29.603,0.05153,0.5853,0.5862,33.726,25.553,28.923,7.998,15.805,20.683,0.09761,0.2659,0.1253,78.554,4.427,0.0,0.02214,10.068,0.7427,0.406,0.3904,-3.134,-1.571,-1.437,0.05867,0.8921,2.007,0.6018,0.658,0.0008632,69.888,3.929,2.786,0.001106,6.072e-06,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_1\005b6242_1716_4ec8_adec_9ce547860af0.jpg,1024,1.0,25.684,7.273,5.649,91.622,5.731,95.079,97.365,69.047,39.275,-4.289,12.766,0.2237,0.2488,0.3897,65.88,65.842,59.811,25.684,4.598,22.829,0.1125,0.2977,0.2634,58.013,8.603,-0.04297,0.001953,8.999,0.3479,0.2684,0.1803,-3.48,-1.732,-1.589,0.04434,1.257,2.334,0.4829,0.6603,0.001372,90.651,3.565,4.112,0.0002914,3.931e-05,
